ID,Year,Mileage,State,Make,Model
0,2014,31909," MD",Nissan,MuranoAWD
1,2017,5362," FL",Jeep,Wrangler
2,2014,50300," OH",Ford,FlexLimited
3,2004,132160," WA",BMW,5
4,2015,25226," MA",Jeep,Grand
5,2017,25684," AZ",Chevrolet,CruzeSedan
6,2016,56126," AZ",Kia,SorentoEX
7,2015,28767," FL",Lexus,IS
8,2015,58981," TX",Chevrolet,Suburban4WD
9,2016,20807," NJ",Hyundai,ElantraLimited
10,2015,35733," KY",Subaru,Legacy2.5i
11,2016,29892," TN",Ford,FusionSE
12,2015,26474," OH",Nissan,Armada4WD
13,2016,16900," TN",Honda,Civic
14,2013,58435," UT",Ford,Super
15,2008,180101," AR",Nissan,Altima4dr
16,2014,75372," FL",Lexus,GS
17,2015,36610," FL",Jeep,Wrangler
18,2014,82708," AZ",Hyundai,Santa
19,2012,49200," CO",Ford,ExplorerLimited
20,2003,58000," TX",Audi,TT2dr
21,2017,23506," MO",Kia,SedonaLX
22,2014,13490," MD",Honda,CivicEX-L
23,2015,41648," NC",Ford,EscapeFWD
24,2017,31911," CA",Buick,EnclaveLeather
25,2013,82539," MA",Ford,EdgeLimited
26,2014,28800," TX",BMW,3
27,2014,32676," CA",BMW,5
28,2016,12720," CA",Toyota,RAV4FWD
29,2016,37127," TX",Toyota,AvalonLimited
30,2013,48901," NY",INFINITI,G37
31,2016,19797," TX",Toyota,Tundra
32,2016,50366," MI",Jeep,PatriotSport
33,2013,104777," TN",Chevrolet,Silverado
34,2014,48150," GA",Chrysler,300300S
35,2013,49109," SD",Dodge,ChargerSXT
36,2011,66931," TN",Ram,15004WD
37,2017,7384," TX",Chevrolet,Silverado
38,2016,37165," CA",Chevrolet,Suburban2WD
39,2015,26562," TX",Ford,F-1504WD
40,2017,24706," OH",Toyota,CorollaLE
41,2015,20864," FL",Chevrolet,MalibuLS
42,2015,28043," TX",Nissan,Pathfinder4WD
43,2015,88912," TX",GMC,Yukon2WD
44,2015,19661," NC",Ford,Super
45,2014,77669," MS",Toyota,CamryXLE
46,2012,74868," PA",Ford,F-150XLT
47,2010,94800," CA",Land,Rover
48,2015,50496," VA",Subaru,Legacy2.5i
49,2016,19553," OH",Chevrolet,Malibu
50,2014,54320," MN",Ford,FusionSE
51,2014,44879," FL",Chrysler,Town
52,2011,84048," CA",BMW,5
53,2013,59684," FL",MINI,Cooper
54,2016,20092," NJ",Subaru,WRXPremium
55,2010,78510," IN",Ford,F-1502WD
56,2005,169391," MN",Nissan,Titan2WD
57,2012,85824," CA",Chevrolet,CamaroConvertible
58,2006,63219," PA",GMC,Sierra
59,2015,23497," CO",Subaru,Legacy2.5i
60,2006,122092," WV",Subaru,Legacy2.5i
61,2017,33695," MO",Chevrolet,MalibuLT
62,2015,37851," OH",Volvo,S60T5
63,2012,87318," IL",Audi,A64dr
64,2008,128689," ID",Hyundai,Elantra4dr
65,2015,26609," TX",Toyota,CamrySE
66,2014,35094," PA",Honda,CR-VLX
67,2010,62480," NC",Honda,Civic
68,2013,62177," NC",Ford,EdgeSEL
69,2016,33786," MO",Toyota,CorollaLE
70,2014,29542," WI",Ford,EscapeSE
71,2014,63503," TX",GMC,Sierra
72,2015,36822," NJ",Cadillac,SRXLuxury
73,2017,17848," AL",GMC,Yukon2WD
74,2014,26103," OH",Honda,Civic
75,2012,93404," CA",Chevrolet,SonicSedan
76,2007,102953," FL",Honda,Accord
77,2013,83431," MA",Ford,FusionSE
78,2012,80938," FL",Mazda,Mazda64dr
79,2009,65567," WA",Honda,CR-V4WD
80,2015,64000," CA",Mercedes-Benz,M-ClassML350
